98344,98344 
97880,97880 
97364,97364 
98157,98157 
98124,98124 
97243,97246 
98356,98356 
100140,100140 
100007,100007 
100150,100151 
100050,100050 
100161,100162 
100327,100328 
99135,99139 
100272,100273 
99719,99719 
99442,99442 
99153,99154 
100394,100395 
99730,99730 
98277,98281 
98157,98157 
99050,99054 
97132,97132 
97154,97154 
100261,100262 
99413,99417 
99995,99996 
99840,99841 
100604,100605 
102366,102367 
98837,98837 
100427,100428 
100262,100262 
100007,100007 
99996,99996 
99312,99312 
99996,99996 
99132,99132 
100262,100262 
97276,97275 
97255,97255 
98433,98437 
98147,98150 
98978,98978 
99751,99755 
98727,98727 
100141,100141 
98418,98418 
99335,99335 
100140,100141 
98850,98850 
99346,99350 
99575,99576 
100262,100263 
99997,99997 
100140,100141 
100184,100185 
99358,99358 
99568,99569 
98276,98276 
97109,97108 
97867,97867 
98101,98101 
98399,98399 
99839,99840 
99588,99589 
99994,99994 
99285,99285 
100348,100348 
100172,100172 
100294,100294 
100303,100304 
98670,98670 
99784,99785 
100647,100648 
100460,100460 
100049,100049 
100955,100956 
100592,100592 
