index,groundtruth,distance,distanceAdjust
1,10,14.388889,18.388889
2,10,30367.166667,30371.166667
3,10,1998.111111,2002.111111
4,10,1931.222222,1935.222222
5,10,1842.166667,1846.166667
6,10,15.166667,19.166667
7,10,12.444444,16.444444
8,10,14.388889,18.388889
9,10,230.611111,234.611111
10,10,15.555556,19.555556
11,20,20.611111,24.611111
12,20,42057.166667,42061.166667
13,20,2621.111111,2625.111111
14,20,759.500000,763.500000
15,20,1870.166667,1874.166667
16,20,1524.833333,1528.833333
17,20,7015.555556,7019.555556
18,20,1545.833333,1549.833333
19,20,465.111111,469.111111
20,20,41090.000000,41094.000000
21,40,23454.666667,23458.666667
22,40,16332.166667,16336.166667
23,40,43318.333333,43322.333333
24,40,28114.722222,28118.722222
25,40,13449.722222,13453.722222
26,40,20558.611111,20562.611111
27,40,11549.222222,11553.222222
28,40,37951.277778,37955.277778
29,40,13018.833333,13022.833333
30,40,16.333333,20.333333
31,80,425.055556,429.055556
32,80,424.277778,428.277778
33,80,425.833333,429.833333
34,80,404.444444,408.444444
35,80,28539.777778,28543.777778
36,80,10435.055556,10439.055556
37,80,6816.833333,6820.833333
38,80,6128.111111,6132.111111
39,80,6798.944444,6802.944444
40,80,4129.222222,4133.222222
